"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"US-CRT", "88214", "GRP_HEIGHTC", , "0", "Mean", , , "20120520", , , , , , 
"US-CRT", "88215", "GRP_HEIGHTC", , "0.975", "Mean", , , "20120820", , , , , , 
"US-CRT", "88216", "GRP_HEIGHTC", , "0.18", "Mean", , , "20121214", , , , , , 
"US-CRT", "88217", "GRP_HEIGHTC", , "0.18", "Mean", , , "20130104", , , , , , 
"US-CRT", "88218", "GRP_HEIGHTC", , "0.675", "Mean", , , "20110810", , , , , , 
"US-CRT", "88219", "GRP_HEIGHTC", , "0.72", "Mean", , , "20130605", , , , , , 
"US-CRT", "88220", "GRP_HEIGHTC", , "1.125", "Mean", , , "20120912", , , , , , 
"US-CRT", "88221", "GRP_HEIGHTC", , "0.3", "Mean", , , "20130422", , , , , , 
"US-CRT", "88222", "GRP_HEIGHTC", , "0.075", "Mean", , , "20110617", , , , , , 
"US-CRT", "88223", "GRP_HEIGHTC", , "0.18", "Mean", , , "20130212", , , , , , 
"US-CRT", "88224", "GRP_HEIGHTC", , "0.18", "Mean", , , "20130319", , , , , , 
"US-CRT", "88225", "GRP_HEIGHTC", , "0.225", "Mean", , , "20120612", , , , , , 
"US-CRT", "88226", "GRP_HEIGHTC", , "1", "Mean", , , "20130620", , , , , , 
"US-CRT", "88227", "GRP_HEIGHTC", , "1.125", "Mean", , , "20111007", , , , , , 
"US-CRT", "88228", "GRP_HEIGHTC", , "0.3", "Mean", , , "20130816", , , , , , 
"US-CRT", "88229", "GRP_HEIGHTC", , "0.35", "Mean", , , "20130725", , , , , , 
"US-CRT", "88230", "GRP_HEIGHTC", , "0.525", "Mean", , , "20120720", , , , , , 
"US-CRT", "88231", "GRP_HEIGHTC", , "0.18", "Mean", , , "20130124", , , , , , 
"US-CRT", "88232", "GRP_HEIGHTC", , "0", "Mean", , , "20110611", , , , , , 
"US-CRT", "88233", "GRP_HEIGHTC", , "0.06", "Mean", , , "20121022", , , , , , 
"US-Dk1", "29166", "GRP_HEIGHTC", "(range 0.1-1) variable; Dependent on phenology and date of mow.", "0.55", , , , , , , , , , 
"US-Dk2", "24519", "GRP_HEIGHTC", "Determined by assessing the height of trees growing near the tower", "25", , , , "2006", , , , , , 
"US-Dk3", "25538", "GRP_HEIGHTC", , "19", , , , "2006", , , , , , 
"US-Dk3", "27249", "GRP_HEIGHTC", , "18", , , , "2004", , , , , , 
"US-Dk3", "28132", "GRP_HEIGHTC", , "16", , , , "2001", , , , , , 
"US-Fmf", "27622", "GRP_HEIGHTC", , "18", , , , "20050927", , , , , , 
"US-FPe", "24399", "GRP_HEIGHTC", "(range 20-40) estimated", "30", , , , , , , , , , 
"US-Fuf", "28339", "GRP_HEIGHTC", , "18", , , , "20050927", , , , , , 
"US-Fwf", "27991", "GRP_HEIGHTC", , "0.3", , , , "20050927", , , , , , 
"US-GBT", "88584", "GRP_HEIGHTC", , "2.2", "10th Percentile", "190", , "2010", , , , , , 
